"File,Name",ObjectName,Execution,Timestamp,ErrorLog,Failed_SFQID,ExecutionTime(mins)
input.sql,select current_timestamp;,SUCCESS,2021-02-23 16:51:41,,
input3.sql,"select 1,2,3,4;
select 1;
select 2;",FAIL,2021-02-23 16:51:42,000006 (0A000): 019a7b49-329b-fb4b-0000-052502664b1a: Multiple SQL statements in a single API call are not supported; use one API call per statement instead.,019a7b49-329b-fb4b-0000-052502664b1a
input.sql,select current_timestamp,SUCCESS,2021-02-23 16:53:55,,
input3.sql,"select 1,2,3,4",SUCCESS,2021-02-23 16:53:55,,
input3.sql,select 1,SUCCESS,2021-02-23 16:53:55,,
input3.sql,select 2,SUCCESS,2021-02-23 16:53:55,,
input.sql,select current_timestamp,SUCCESS,2021-02-23 16:55:42,,
input3.sql,"select 1, 2, 3, 4",SUCCESS,2021-02-23 16:55:42,,
input3.sql,select 1,SUCCESS,2021-02-23 16:55:43,,
input3.sql,select 2,SUCCESS,2021-02-23 16:55:43,,
input.sql,select current_timestamp,SUCCESS,2021-02-23 16:56:23,,
input3.sql,"select 1, 2, 3, 4",SUCCESS,2021-02-23 16:56:23,,
input3.sql,select 1,SUCCESS,2021-02-23 16:56:24,,
input3.sql,select 2,SUCCESS,2021-02-23 16:56:24,,
input.sql,select current_timestamp,SUCCESS,2021-02-23 17:00:32,,
input3.sql,"select 1, 2, 3, 4",SUCCESS,2021-02-23 17:00:32,,
input3.sql,select 1,SUCCESS,2021-02-23 17:00:32,,
input3.sql,select 2,SUCCESS,2021-02-23 17:00:32,,
input.sql,select current_timestamp,SUCCESS,2021-02-23 17:09:32,,,0.004350002606709798
input3.sql,"select 1, 2, 3, 4",SUCCESS,2021-02-23 17:09:32,,,0.005081637700398763
input3.sql,select 1,SUCCESS,2021-02-23 17:09:32,,,0.004903233051300049
input3.sql,select 2,SUCCESS,2021-02-23 17:09:33,,,0.0053790529568990076
